Timestamp,1) What is your age in years?,2) What is your gender?,3) For which company you are currently working?,4) Which of the following disciplines best describes your job role?,5)In which country you are currently working?,"6) How long have you been working professionally, including your current job? Please enter number in years.",7)  How long have you analyzed the data? Please enter number in years.,8) What is the highest degree you have been completed?,9) What is your educational background. (required)*,10) Have you ever attend any workshop? Please specify the name.,11) Why you choose a Data Scientist job.(Motivation behind choosing data science),12) Please check all that apply. (required)*,"13)	Please rank your skills [Algorithms (ex: computational complexity, CS theory)]","13)	Please rank your skills [Back-End Programming (ex: JAVA/Rails/.NET)]","13)	Please rank your skills [Bayesian/Monte-Carlo Statistics (ex: MCMC, BUGS)]","13)	Please rank your skills [Big and Distributed Data (ex: Hadoop, HBase, Cosmos, Map/Reduce)]","13)	Please rank your skills [Business (ex: management, business development, budgeting)]","13)	Please rank your skills [Classical Statistics (ex: general linear model, ANOVA)]","13)	Please rank your skills [Data Manipulation (ex: regexes, R, SAS, web scraping)]","13)	Please rank your skills [Front-End Programming (ex: JavaScript, HTML, CSS, ASP)]","13)	Please rank your skills [Graphical Models (ex: social networks, Bayes networks)]","13)	Please rank your skills [Machine Learning (ex: decision trees, neural nets, SVM, clustering)]","13)	Please rank your skills [Math (ex: linear algebra, real analysis, calculus)]","13)	Please rank your skills [Optimization (ex: linear, integer, convex, global)]","13)	Please rank your skills [Product Development (ex: design, project management)]","13)	Please rank your skills [Science (ex: experimental design, technical writing/publishing)]","13)	Please rank your skills [Simulation (ex: discrete, agent-based, continuous)]","13)	Please rank your skills [Spatial Statistics (ex: geographic covariates, GIS)]","13)	Please rank your skills [Structured Data (ex: SQL, JSON, XML)]","13)	Please rank your skills [Surveys and Marketing (ex: multinomial modeling)]","13)	Please rank your skills [Systems Administration (ex: *nix, DBA, cloud tech.)]","13)	Please rank your skills [Temporal Statistics (ex: forecasting, time-series analysis)]","13)	Please rank your skills [Unstructured Data (ex: noSQL, text mining)]","13)	Please rank your skills [Visualization (ex: statistical graphics, mapping, web-based viz)]","14.1)In week how many hours you spend on ""Query databases for existing data"".","14.2)In week how many hours you spend on  ""Build platforms to collect data and/or instrument code to gather data""","14.3)In week how many hours you spend on  ""Prepare data: manipulating the data to fit your analytic needs, e.g., data merging, cleaning, data shaping""","14.4)In week how many hours you spend on  ""Analyze data: statistics, machine learning, data mining, etc""","14.5)In week how many hours you spend on  ""Experiment: build capability and/or run experiments to test alternative designs""","14.6)In week how many hours you spend on  ""Validate insight: check that analysis results are correct""","14.7)In week how many hours you spend on  ""Disseminate insight: prepare presentations, write reports, create visualizations""","14.7)In week how many hours you spend on  ""Engage with others about data and analysis: attend meetings, brown bags, etc.""","14.8)In week how many hours you spend on  ""Operationalize insight: operationalize models, define automated actions, triggers based on models""","14.9)In week how many hours you spend on  ""Act on insight: make decision based on data""","14.10)In week how many hours you spend on  ""Other work activities related to data science""","14.11)In week how many hours you spend on  ""Other work activities not related to data science""","15)	Let us know if any important activity we miss in previous question [14].",16)  What tools do you use for your data science tasks?,17) What challenges do you frequently face when doing data science?,"18) How could your education background can help you in data science field?For example , i am with a computer science background and it will help in programming.","19) which sort of problem you face in your job with your educational background ?For example , i am Statistician and i face difficulty in programming.","20)Do you have access to the following data? [Business data (e.g., purchases, transactions)]","20)Do you have access to the following data? [Customer usage of the product (e.g., SQMdata, feature usage, game play data)]","20)Do you have access to the following data? [Execution behavior of the product (e.g.,crashes, performance data, load balancing)]","20)Do you have access to the following data? [Engineering data of the product (e.g., check-ins, work items, code reviews)]",21) Which of the following standard framework your teams use for gathering data? Check all that apply.,22) How we can improve this Survey?
2019/04/28 1:05:52 pm GMT+5,23,Male,Impetus,Software Engineering.,Asia: India,1,0.5,Bachelor's degree (3 or 4 year university),Computer Science,No,Challenging prospects. Multidisciplinary.,I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis,3,5,1,4,1,2,3,3,2,3,4,3,4,2,1,1,5,1,3,1,3,1,5,30,0,0,0,0,0,0,0,0,5,20,,[SQL;Python;Java,The learning curve is very steep. Also you have to continuously upskill to survive.,Computer science background helps in algorithm design and programming,Not strong in math and face various related problems.,No,Yes,Yes,No,I don't know,
2019/04/28 4:50:27 pm GMT+5,24,Male,IT Company,Other:,Asia: Other,5,5,Bachelor's degree (3 or 4 year university),Computer Science,Bangladesh Army,I have enjoy this type of work,I analyze product and customer data.;I build data engineering platforms to collect and process a large quantity of data;I manage one or more data scientists,5,1,1,1,5,2,5,1,1,1,1,5,5,1,1,1,1,5,1,1,1,5,30,30,30,30,30,30,30,30,30,30,30,30,,Excel,Big project,I have complete Computer Diploma. So it's help me. ,I'm a have a computer diploma background. ,Don't Know,Don't Know,Yes,Yes,Other:,No Idea
2019/04/28 5:04:13 pm GMT+5,25,Male,Bincom ICT solutions ,Data & Applied Science,Africa,3,2,Bachelor's degree (3 or 4 year university),Computer Science,Terragon Data science workshop,"I love machine learning and AI generally, I love anything that has to do with training machine and making predictions, you feel like a god when the output is accurate.",I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders;I manage one or more data scientists,2,2,2,2,2,1,3,1,3,3,2,2,2,1,1,2,3,2,2,2,3,2,25,25,12,18,8,8,8,5,7,10,9,5,Personal development outside data science,[SQL;Excel;Python,Cleaning and visualization,I have knowledge of computer science and object oriented programming heels sharpen my skills,None,Yes,Yes,Don't Know,Yes,Windows Events;SQM;Azure Event Hub;Azure MDS;Other:,Divide it into sections
2019/04/28 5:06:10 pm GMT+5,38,Male,IT Company ,Data & Applied Science,Kingdom of Saudi Arabia,14,8,Master's Degree (graduate degree),MIS and Finance,No,I was associated with the role of Auditor in the bank for the last 8 years and heavily indulged in data mining / analysis. Here in this IT firm i am again playing the same role pertaining to financial data.,I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I communicate results and insights to business leaders;I manage one or more data scientists,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,1,5,1,1,1,1,35,0,35,35,35,35,0,35,0,0,0,0,,[SQL;Excel;Office BI,Difference in the data designing / tables,I did my MBA MIS (bi-major) this field pertains to my education and job exposure.,Satisfied. ,Yes,Don't Know,Yes,Yes,Windows Events;Watson crashes,No need for improvement. 
2019/04/28 5:08:05 pm GMT+5,34,Male,PM Technologies,Other:,Asia: India,8,5,Master's Degree (graduate degree),Computer Science,Cloud vmware,Interested in Data Mining,I analyze product and customer data.,1,1,1,1,3,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,10,10,10,10,10,8,10,7,7,6,8,8,data collection,Excel,Data accuracy ,yes,yes,Yes,Yes,Don't Know,Don't Know,Other:;I don't know,additionally you could provide particular project description
2019/04/28 5:10:32 pm GMT+5,42,Male,Ministry of Education,Data & Applied Science,Republic of Venezuela,17,3,Master's Degree (graduate degree),Computer Science,"No, I have only learned software resources for data science from the documentation of the applications available for the python language","I am passionate about knowing the value of the indicators of a management, understand the metrics of a discourse and predict future scenarios through the analyzed data",I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data,4,1,1,1,1,4,4,3,3,4,4,1,3,4,1,1,4,2,1,1,1,1,4,4,4,6,2,2,2,0,0,2,2,8,,[SQL;Excel;Python,the structuring of neural networks is a space of difficulty for me ... the fidelity of the data sometimes represents a threat in my studies,"Interestingly my studies are not directly related to the work I have done in data science, I have developed as a sentiment analyst in the discourse and this predictive analysis is not related to any career in my country. My profession is as a Professor of Computer Science, but the data sciences has become one more area of permanent study than of work for me.","Well, oddly enough, it is a problem that as a specialist in Informatica I use only free software in my resources, I have noticed how most of the people I have worked with only use proprietary software and do not understand very well the dynamics of the use of free software ... another thing is that, when I must go to statistical concepts I like to review well those that I link to my studies, some people do not understand that the management of conceptualization is important and its study is good to take it with calm.",Yes,No,No,No,I don't know,"with an exercise of data analysis that fits the profile of data that you want to work with, that allows you to observe methods of analysis, interpretation and council of the data presented in the proposed exercise"
2019/04/28 5:11:14 pm GMT+5,20,Male,I'm a student in a faculty of pharmacy,Data & Applied Science,egypt,0,1,"Some university/college, no degree",pharmaceutical science,not yet,to bulid my self..and help the people,None of the above,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,0,0,0,11,11,11,11,10,11,10,11,0,"[SQL;Excel;Office BI;C, C++, C#",not yet,not yet,no proplems,Yes,Yes,Yes,Don't Know,Windows Events,22/22
2019/04/28 5:31:22 pm GMT+5,23,Female,Freelancer,Data & Applied Science,Asia: India,4,3,Bachelor's degree (3 or 4 year university),Computer Science,LG Service Care,"Data Science as a field was something that just happened. In 2014, someone told Analytics/Data Science as a field is lucrative and has a great future. I ignored and thought whatever. So, I left a stable company, stable job and Singapore opportunity and joined a startup with completely different responsibilities, a pay cut, and fear of loosing job. And, the journey started.",I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I communicate results and insights to business leaders;I manage one or more data scientists,5,1,1,4,5,2,5,3,1,1,5,4,2,4,2,2,2,5,5,2,2,2,20,15,18,20,20,22,12,15,10,10,12,10,N/A,Excel,I'll be the best to me on data science. it's great to me.,Yes. I'm experts in computer. especially in excel ,Yes. numaricals,Yes,Yes,Yes,Yes,Windows Events,It's greats to learn new thing.
2019/04/28 5:32:22 pm GMT+5,21,Female,I am a student,Data & Applied Science,Asia: Pakistan,1,1,Master's Degree (graduate degree),Applied psychology,SPSS analysis workshop,I have interest in data science,I analyze product and customer data.,3,1,1,1,2,2,2,1,1,1,2,3,3,4,3,3,1,1,1,2,2,2,15,15,20,15,10,8,5,7,9,5,5,10,no ,SPSS,To manipulate the variables,I am with a applied psychology background and i have know how about data science.,I am a psychologist and i face difficulty in programming,Yes,No,Yes,No,I don't know,To understand the psychology of candidates.
2019/04/28 5:37:02 pm GMT+5,28,Male,Self Employer,Data & Applied Science,United Kingdom,5,3,Master's Degree (graduate degree),Computer Science,No,I am interested in the data processing work and data scraping.,I analyze product and customer data.;I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders,3,4,3,4,4,2,5,5,4,3,3,3,4,3,3,1,5,4,4,4,5,3,40,60,40,40,30,40,40,40,30,40,40,30,No,"Matlab;[SQL;Excel;C, C++, C#;Python",Coding is some complex other all will do.,I am expert in web scraping work and data mining work.,I am computer science and i face difficulty in coding.,Yes,Yes,Yes,Yes,Windows Events;Other:,Good
