Title,Description1,Description2,Company_name,Location,Salary_range,Date,Rating
Client Strategy & Insights Reporting Analyst,Advanced knowledge of a known data visualization tool(s).,Understand Client’s business needs and how performance reporting or well-structured industry data will…,Indeed,"Bengaluru, Karnataka","₹12,00,000 - ₹17,00,000 a year","Posted
23 days ago",4.3
Data Analyst-Financial Crime,"The role will also have a strong emphasis on developing new methods of detecting potential suspicious matters, utilising advanced data analysis, and technical…",,ANZ Banking Group,"Bengaluru, Karnataka",,"Posted
2 days ago",4.1
Product Analyst,Own the implementation of data collection and tracking with help from the engineering and product teams to ensure we collect data in the right way.,,Mygate,"Temporarily Remote in Bengaluru, Karnataka","₹80,000 a month","Employer
Active 3 days ago",
Analyst,Ability to make data-driven decisions.,We are looking for a Digital Marketing analyst to support our digital marketing team.,Dollarbird Technologies,"Mysore, Karnataka","₹14,000 - ₹20,000 a month","Employer
Active 6 days ago",
Data Analyst - Finance,"Outstanding communication and presentation skills, ability to translate and effectively communicate analytical data to non-technical professionals.",,Careem,"Daund, Pune, Maharashtra",Full-time,"Posted
30+ days ago",
Data Analyst,Work with stakeholders to identify opportunities to drive business solutions -Mine and analyze data from databases to drive optimization and improvement of…,,Academy of Skill Development and Learning,"Bengaluru, Karnataka","₹8,00,000 - ₹10,00,000 a year","Posted
Today",
Data Analyst,"Job Types: Full-time, Fresher.",,Merit Data & Technology,"Ambattur, Chennai, Tamil Nadu","₹1,80,000 - ₹2,50,000 a year","Posted
Today",
Junior Data Analyst (Remote),Current data situation and develop plan to help clean up their data leveraging.,"Requirements gathering, functional analysis, future state data design, data.",FX-pros,"Remote in Hyderabad, Telangana","₹5,00,000 a year","Posted
6 days ago",
Data Analyst,"Experience in Data profiling, discrepancy analysis, data visualization skills, developing interactive reports and dashboards with visual insights.",,Dynamics Moulds & Dies,"Chennai, Tamil Nadu","₹10,000 - ₹35,000 a month","Posted
1 day ago",
Data & Reporting - Analyst,"They will be accountable for analyzing data, providing meaningful reports & insights and reviewing business areas for data & reporting improvements.",,Deloitte,"Hyderabad, Telangana",,"Posted
8 days ago",4.0
Data Analyst,Collaborate and work closely with data quality teams to ensure adherence to data ingestion and data governance standards.,,PipeCandy,"Remote in Chennai, Tamil Nadu",,"Posted
4 days ago",
Data Analyst Intern,Store and prepare data in MySQL.,Analyze data in google sheets and google studio.,KultureHire,"Puducherry, Puducherry","₹4,000 a month","Posted
1 day ago",
Senior Data Analyst,To analyse Data and prepare reports with MS-Excel.,Take decisions based on the Hourly/Alarm reports.,GrepTech Solutions,"Remote in Chennai, Tamil Nadu","₹12,000 - ₹30,000 a month","Posted
Just posted",
Encore - Data Management - Analyst,"Consistently follows pre-defined, repeatable data management processes.",Education Requirement: Any graduate/Post Graduate with excellent documentation and data…,Deloitte,"Hyderabad, Telangana",Full-time,"Posted
6 days ago",4.0
"Data Analyst , ekaterra (Process Analytics & Technology)","We will build expertise to drive data quality in specifications and we will be strengthening our capabilities in data engineering, visualisation, reporting,…",,Unilever,"Bengaluru, Karnataka",Full-time,"Posted
7 days ago",4.2
International Search Quality Operations Analyst,Technical knowledge with a proficiency in manipulating data sets in SQL or equivalent and drawing insights from data.,"We are builders, we are integrators.",Indeed,"Hyderabad, Telangana","₹6,00,000 - ₹9,00,000 a year","Posted
29 days ago",4.3
Business Systems Analyst - SQL,Perform system configuration updates and scripted data updates.,Work on complex issues where analysis of situations or data requires an in-depth evaluation of…,NUKG Business Solutions,"Temporarily Remote in Hyderabad, Telangana","₹4,00,000 a year","Employer
Active 4 days ago",
Analyst,Financial analyst or data analyst within a CSR company is a plus.,"We need a person that's naturally analytical and inquisitive, capable of running analysis on…",Clear Nexus,"Bengaluru, Karnataka","₹37,000 - ₹55,600 a month","Employer
Active 13 days ago",
Research Analyst,Hands-on experience with data handling and analysis.,Aruna Ranganathan (Haas) is using historical United States ancestry and employment data to reveal novel…,Berkeley Haas,"Kolkata, West Bengal","₹3,500 - ₹7,000 a week",Hiring ongoing,
Data Analyst,Our data analysts are versatile and work with data in a number of different ways.,The data analyst will present these recommendations to business stakeholders…,Thomson Reuters,"Hyderabad, Telangana",,"Posted
30+ days ago",3.9
Analyst-Data Science,"The role requires exhibiting a high level of expertise in guiding the data strategy through statistical analysis, decision support logic and data techniques.",,Amex,"Gurgaon, Haryana
+2 locations",,"Posted
1 day ago",4.1
Data Analyst,"Developing and maintaining databases, data systems – reorganizing data in a readable format.",Performing analysis to assess quality and meaning of data.,Zapcom Group,India,,"Posted
2 days ago",
Data and Analytics,Experience driving insights through data analysis and effectively communicating and collaborating with cross functional teams to implement recommendations.,,Dollarbird Technologies,"Mysore, Karnataka","₹33,334 - ₹50,000 a month","Posted
2 days ago",
Data Analyst,Experience analyzing and trending large amounts of data.,The reporting analyst must have the ability to review and audit code written by other.,Kelly Services Internal,India,Full-time,"Posted
17 days ago",
Data Analyst,"Providing sales data, proposals, data insights and accountreviews to the client base.","Gather information from various sources (data warehouses,database, data…",Wipro Limited,"Hyderabad, Telangana",Full-time,"Posted
20 days ago",3.8
Data Analyst Intern,Work on data wrangling and data preparation.,Work on data wrangling and data preparation.,Discover Dollar,Remote,"₹20,000 a month","Posted
2 days ago",
Data Analytics Analyst,Acquire data from primary or secondary data sources to maintain database systems.,Interprets data and makes recommendations.,Citi,"Chennai, Tamil Nadu",Full-time,"Posted
2 days ago",3.9
Junior Analyst,"Analyze data, draw conclusions to solve problems/ make timely and informed decisions.",Metric based approach to drive packaging projects with end to end…,Flipkart,"Bengaluru, Karnataka",,"Posted
17 days ago",4.1
Business Analyst,Converting data into digestible business intelligence and actionable information.,End to End Account management of our existing customers.,OX SoftwareS Private Limited,"Maduravoyal, Chennai, Tamil Nadu","₹15,000 - ₹42,000 a month","Employer
Active 3 days ago",
Senior Data Analyst,"Hands-on experience in data cleaning, data management, data enrichment, data transformation.",Experience in multiple types of data cleaning projects with excel…,AIMLEAP,"Remote in Bengaluru, Karnataka
+1 location","₹3,00,000 - ₹5,00,000 a year","Posted
Today",
Credit Risk Analyst: Credit & Policy,"Thorough analysis of financial statements and evaluation of loan applications including new applications, amendment applications, refinancing and annual due…",,NDX P2P PRIVATE LIMITED,"Andheri, Mumbai, Maharashtra","₹3,00,000 - ₹4,50,000 a year","Employer
Active 3 days ago",
International Product Analyst,Leverage proprietary software to analyze performance data and run and analyze A/B tests.,We are looking for someone who has experience with web or tech products…,Indeed,"Remote in Hyderabad, Telangana","₹14,80,000 - ₹22,20,000 a year","Posted
30+ days ago",4.3
Data Engineer - Associate Analyst / Data Engineer I,"You will support our software developers, data analysts and data scientists on data initiatives and will ensure efficient data delivery architecture is…",,Colgate-Palmolive,"Mumbai, Maharashtra",,"Posted
30+ days ago",4.3
Reporting Analyst,Ensure employee data is current and accurate for assigned program.,Ability to enter data with a high level of accuracy.,24-7 Intouch,"Hyderabad, Telangana",Full-time,"Posted
30+ days ago",3.2
Information Security Risk Analyst,"Working knowledge of financial industry security space, which touches secure coding, sensitive data, industry regulations, standards, compliance requirements.",,Oportun Inc,"Remote in Chennai, Tamil Nadu",Full-time,"Posted
30+ days ago",
Data Analyst,Develop control structures within a simple environment to ensure the accuracy and quality of data through all upstream and downstream data channels.,,TGS the global skills,"Bengaluru, Karnataka","₹7,00,000 a year","Employer
Active 4 days ago",
Data Analyst Entry,Perform basic to highly complex revisions to data within Zavacor per defined data revision.,Reconciliation process of data queries.,Labcorp,"Bengaluru, Karnataka",Full-time,"Posted
1 day ago",3.4
Lead Data Analyst,"Strong analytical skills and process orientation, with strong attention to detail and ability to make data-backed decisions.",,Flipkart,"Bengaluru, Karnataka",,"Posted
16 days ago",4.1
"Data analyst / Data scientist, Associate",,,Deutsche Bank,"Bengaluru, Karnataka",,"Posted
Today",3.8
Data Analyst Intern,Handle unique data analysis requests from a range of data.,Organizing and understanding business data.,Sunfox Technologies private limited,"Dehra Dun, Uttarakhand","₹12,000 - ₹20,000 a month","Employer
Active 4 days ago",3.0
Urgent Hiring- Business Analyst,"Technical skills required to understand client requirements & developing technical solutions by defining, analysing, and documenting those requirements. should…",,istudio technologies,"Chennai, Tamil Nadu","₹30,000 - ₹40,000 a month","Employer
Active 3 days ago",
Data Analyst,Assess data availability and modeling feasibility.,Work with data and technology experts to help execute analytics projects and deploy solutions.,Shell,"Chennai, Tamil Nadu",Full-time,"Posted
Today",3.9
Business Analyst,Researching possible software solutions to increase work efficiency · Supporting project teams during the analysis and planning stages of product development ·…,,Tranzcom Business Solutions,"Remote in Bengaluru, Karnataka","₹3,00,000 - ₹7,00,000 a year","Posted
Today",
Data Migration DB2 Analyst/Consultant,"Previous experience in any of the database tools like Oracle Goldengate, Oracle data pump, Oracle RMAN, Oracle Data Guard, SQL Server Migration Assistant.",,Deloitte,"Chennai, Tamil Nadu",,"Posted
3 days ago",4.0
Research Analyst - CDQA,"Good communication skills in the English language reading, writing, speaking.",Functional MS office skills with an emphasis on MS Excel and google sheet.,Web IT,"Remote in Bengaluru, Karnataka","₹10,000 a month","Posted
1 day ago",
Business Analyst,"Identify business trends utilizing real data, compile analysis reports that are delivered to developers and then follow-up on all results.",,Courtyard Marriott- 560 Scott Avenue 87401,"Noida, Uttar Pradesh","₹3,00,000 - ₹8,00,000 a year","Employer
Active 3 days ago",
"Data Analyst II, Tech","4+ years of work experience in data analyst, technical solutions, engineering or other technical positions.",Excellent quantitative skills and comfort with data…,Uber,"Bengaluru, Karnataka
+1 location",Full-time,"Posted
30+ days ago",3.7
Junior Analyst - BCG GAMMA,"Analyzing large data sets, finding patterns and providing a concise summary.",We design algorithms and build complex models out of large amounts of data.,Boston Consulting Group,"Bengaluru, Karnataka",Full-time,"Posted
30+ days ago",4.2
Data Analyst,Use statistical methods to analyze data and generate useful business reports.,4-5 years of experience in data gathering and extraction from various sources.,Maloo Group,"Bengaluru, Karnataka","₹25,000 - ₹30,000 a month","Employer
Active 4 days ago",
Data Modeler/Data Analyst,"Work with the Development team to implement data strategies, build data flows and develop conceptual data models.",Total work: 1 year (Preferred).,TalentBook Solutions Ind Pvt Ltd,"Bengaluru, Karnataka","₹5,88,115 - ₹18,67,333 a year","Employer
Active 4 days ago",
