"ID";"SportsClubs";"Periods";"TotalNumberOfSportsClubs_1";"LessThan51Members_2";"k_51To100Members_3";"k_101To200Members_4";"k_201To300Members_5";"k_301To400Members_6";"k_401To500Members_7";"MoreThan500Members_8";"AverageNumberOfMembers_9";"AverageNumberOfMembersUnder18Years_10";"SportsClubsWithoutSportsFacility_11";"SportsClubsWithRentedSportsFacility_12";"SportsClubsWithAccommodationOwned_13";"SportHallOrGymnasium_14";"IndoorTennisCourt_15";"OtherIndoorSportsFacility_16";"PitchFieldOrTrack_17";"GolfCourse_18";"OtherOutdoorSportsFacility_19";"OwnershipInDifferentLegalForm_20";"SportsClubsWithClubHouse_21";"SportsClubsWithClubHouseOwned_22";"Employees_23";"EmployedPersonsNotOnPayroll_24";"Employees_25";"Employees_26";"TrainingInstructionMedicalCare_27";"ManagementCommitteesAdministration_28";"MaintenanceCleaningCanteen_29";"OtherWork_30";"SportsClubsWithVolunteers_31";"TotalWorkingHoursVolunteers_32";"SupervisionOfYouthMembers_33";"TrainingCoachingMedicalCare_34";"ManagementCommitteesAdministration_35";"MaintenanceCleaningCanteen_36";"TotalRevenues_37";"MembershipAndTuitionFees_38";"GrantsAndContributions_39";"SponsorshipAndAdvertising_40";"CanteenProceeds_41";"OtherRevenues_42";"TotalCosts_43";"WagesAndSocialCharges_44";"StaffNotOnPayroll_45";"HousingCosts_46";"MaintenanceAndCleaning_47";"CostsOfCanteenPurchases_48";"InterestAndDepreciations_49";"PaymentsToSportsFederations_50";"CostsOfMatchesAndTravelling_51";"OtherCosts_52"
"0";"T001395";"2000JJ00";"   26620";"      33";"      19";"      20";"      10";"       6";"       4";"       8";"     191";"       .";"      22";"      69";"      12";"       1";"       0";"       3";"       6";"       0";"       2";"       3";"       .";"       .";"      17";"       .";"   13780";"    3500";"      64";"       5";"      26";"       4";"      86";"    2099";"      26";"      21";"      37";"      16";"     824";"      48";"      11";"       9";"      26";"       6";"     796";"      12";"       7";"      22";"       7";"      14";"       6";"       8";"       7";"      17"
"1";"T001395";"2003JJ00";"   26880";"      34";"      19";"      20";"       9";"       6";"       3";"       9";"     191";"       .";"      24";"      68";"      11";"       1";"       0";"       3";"       6";"       0";"       2";"       2";"       .";"       .";"      16";"       .";"   13130";"    3580";"      63";"       6";"      28";"       4";"      85";"    2005";"      26";"      22";"      36";"      16";"     953";"      48";"      12";"      10";"      26";"       4";"     919";"      11";"       7";"      22";"       8";"      15";"       6";"       8";"       8";"      16"
"2";"T001395";"2006JJ00";"   27550";"      35";"      19";"      19";"       9";"       5";"       3";"       9";"     190";"       .";"      24";"      68";"      11";"       1";"       0";"       3";"       6";"       0";"       2";"       2";"       .";"       .";"      15";"       .";"   12970";"    3710";"      62";"       8";"      26";"       4";"      83";"    2078";"      26";"      23";"      35";"      16";"    1106";"      49";"      11";"      11";"      25";"       5";"    1066";"      12";"       8";"      22";"       7";"      13";"       6";"       8";"      10";"      14"
"3";"T001395";"2009JJ00";"   28700";"      35";"      20";"      18";"      10";"       5";"       3";"       9";"     196";"       .";"      25";"      70";"       7";"       0";"       0";"       1";"       5";"       0";"       1";"       3";"       .";"       .";"      14";"       .";"   12870";"    3920";"      60";"       7";"      23";"       9";"      81";"    2180";"      27";"      24";"      33";"      15";"    1233";"      50";"      10";"      12";"      24";"       5";"    1194";"      12";"       9";"      21";"       8";"      13";"       6";"       8";"      10";"      13"
"4";"T001395";"2012JJ00";"   28780";"      36";"      20";"      18";"       9";"       5";"       3";"       9";"     193";"       .";"      25";"      68";"       9";"       1";"       0";"       2";"       5";"       0";"       2";"       3";"       .";"       .";"      12";"       .";"   11950";"    3610";"      61";"       8";"      21";"      10";"      82";"    2229";"      28";"      24";"      33";"      15";"    1264";"      52";"       9";"      12";"      22";"       5";"    1229";"      12";"       9";"      22";"       8";"      12";"       6";"       8";"      10";"      13"
"5";"T001395";"2015JJ00";"   28210";"      38";"      21";"      17";"       7";"       5";"       3";"       9";"     184";"      62";"      24";"      67";"      13";"       1";"       0";"       3";"       7";"       0";"       3";"       4";"      41";"      26";"      13";"       7";"   12020";"    3660";"      62";"       8";"      20";"      10";"      84";"    2142";"      25";"      26";"      32";"      16";"    1233";"      51";"      10";"      11";"      24";"       4";"    1194";"      12";"       8";"      22";"       7";"      13";"       7";"       8";"       9";"      15"
"6";"T001395";"2018JJ00";"   26510";"      37";"      20";"      17";"       8";"       5";"       3";"       9";"     192";"      62";"      25";"      66";"      12";"       1";"       0";"       3";"       7";"       0";"       2";"       3";"      41";"      26";"      13";"       9";"   10680";"    3410";"      72";"       6";"      15";"       7";"      83";"    2106";"      23";"      29";"      34";"      15";"    1210";"      53";"       8";"      11";"      23";"       5";"    1173";"      11";"      10";"      22";"       7";"      13";"       6";"       8";"       7";"      17"
"7";"T001395";"2020JJ00";"   26130";"      38";"      19";"      17";"       8";"       5";"       4";"       9";"     197";"      61";"      26";"      66";"      11";"       1";"       0";"       3";"       6";"       0";"       3";"       3";"      41";"      27";"      11";"       9";"   10160";"    3100";"      70";"       8";"      13";"      10";"      83";"    1869";"      23";"      32";"      32";"      13";"    1133";"      59";"      11";"      11";"      14";"       5";"    1077";"      12";"      11";"      24";"       7";"       8";"       8";"       9";"       4";"      17"
"8";"A045010";"2000JJ00";"    1090";"      45";"      28";"      17";"       6";"       2";"       0";"       1";"      92";"       .";"       4";"      91";"       6";"       1";"       0";"       5";"       0";"       0";"       0";"       2";"       .";"       .";"      16";"       .";"     420";"      70";"      72";"      23";"       4";"       1";"      90";"      31";"      22";"      35";"      35";"       8";"      17";"      70";"      11";"       2";"       6";"      11";"      16";"      15";"      10";"      30";"       5";"       4";"       4";"       2";"       7";"      24"
"9";"A045010";"2003JJ00";"    1150";"      49";"      25";"      16";"       5";"       3";"       1";"       1";"      91";"       .";"       4";"      92";"       5";"       1";"       0";"       4";"       0";"       0";"       0";"       1";"       .";"       .";"      15";"       .";"     390";"      80";"      82";"       9";"       8";"       1";"      85";"      31";"      21";"      40";"      33";"       6";"      18";"      82";"      10";"       2";"       5";"       2";"      17";"      13";"      11";"      31";"       4";"       3";"       4";"       3";"       9";"      22"
